
zlib,1.2.11
zlib,1.2.10
PCRE,8.43
PCRE,8.42
openssl,1.1.1a
openssl,1.1.0j
google/protobuf,3.12.0
google/protobuf,3.8.0
7zip,19.00
7zip,18.06
Apache Portable Runtime (APR),1.7.0
Apache Portable Runtime Utilities(APR-util),1.6.1
SQLite,3.28.0
SQLite,3.28.0
libevent,2.1.10
libevent,2.1.8
protobuf-c,1.3.2
7zip - LZMA SDK,18.06
7zip - LZMA SDK,19.00
lua,5.3.4
lua,5.3.5
libpng,1.0.68
libpng,1.0.69
Thrift,0.11.0
Thrift,0.12.0
libxml2,2.9.8
libxml2,2.9.9
tinyxml2,5.0.0
tinyxml2,7.0.1
nginx,1.10.3
nginx,1.17.0
Zstandard,1.1.3
Zstandard,1.4.0
p7zip - p7zip,17.02
sqlite,3.16.0
sqlite,3.28.0
PuTTY ,0.73
PuTTY ,0.72
PuTTY ,0.71
ixgbe,05.5.5
libvirt,5.4.0
libvirt,5.3.0
ixgbevf ,04.5.3
ixgbevf ,04.5.3
FFmpeg ,04.1.3
FFmpeg ,4.2
OpenSSH ,8.0p1
cygwin ,3.0.7
xl2tpd ,01.3.14
arm-trusted-firmware ,2.1
ziparchive ,02.2.2
LSI_3008 linux 驱动mpt3sas-9.00.00.00 LSI_3008,5.2
LSI_3008 linux 驱动mpt3sas-9.00.00.00 LSI_3008,5.1
tpm2.0-tools,3.2.0
tpm2.0-tools,3.1.0
libgo,3.1
libgo,2.8
SharpShell,2.7.0
SharpShell,2.4.0
Opus,1.3
Opus,1.2
i40evf,3.6.15
i40evf,3.0.8
libevhtp,1.2.18
libevhtp,1.2.12
gflags,2.2.2
gflags,2.2.1
netty-tcnative,2.0.26
netty-tcnative,2.0.4
sshpass,1.06
iniparser,3.1
iniparser,3
libqrencode,4.0.2
libqrencode,4.0.0
cpulimit,1.1
libcap,2.26
libcap,2.27
libsvm,3.23
OpenHPI,3.8.0
PresentMon,1.3.1
PresentMon,1.4.0
R (R Project for Statistical Computing),3.6.0
R (R Project for Statistical Computing),3.5.3
squashfs,4.3
GraphicsMagick,1.3.32
GraphicsMagick,1.3.30
nginx-rtmp-module,1.2.1
nginx-rtmp-module,1.1.11
posix_ipc,1.0.4
posix_ipc,1.0.3
smartmontools,7.0
smartmontools,6.3
Objective-Zip,1.0.5
Objective-Zip,1.0.4
rabit,v0.1
darts-clone,0.32g
ipxe,v1.0.0
XZ Utils,5.2.4
JSON for Modern C++,3.6.1
JSON for Modern C++,3.6.0
Linux IPv6 Router Advertisement Daemon - radvd,2.18
Linux IPv6 Router Advertisement Daemon - radvd,2.17
nvidia-docker,2.0.3
nvidia-docker,2.0.2
PROJ.4 - Cartographic Projections Library,2.5.0
PROJ.4 - Cartographic Projections Library,2.4.4
cpprestsdk,2.10.13
cpprestsdk,2.10.0
libtld,1.5.9.1
linux_kernel,2.6.0
linux_kernel,3.4.0
linux_kernel,3.10.0
linux_kernel,4.1.0
linux_kernel,4.19.0
